################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.8133359091814620E+00 a       486     0    21     1     6
 -5.4036199880713296E+00 a       487     0    21     1     7
  2.5313729293075151E+00 a       488     0    21     1     8
  3.6541314457247989E+00 a       489     0    21     1     9
 -4.9307734113356011E-01 a       490     0    21     1    10
  1.0463241370656895E+01 a       491     0    21     1    11
 -5.2448831615390521E+00 a       492     0    21     1    12
 -6.2989740383894333E-01 a       493     0    21     1    13
 -2.2935004496478442E+00 a       494     0    21     1    14
  7.2923424519678610E+00 a       495     0    21     1    15
  4.3639095600425675E+00 a       496     0    21     1    16
  6.5498085626998481E-01 a       497     0    21     1    17
  7.9697915949803741E+00 a       498     0    21     1    18
 -6.4507305338550172E+00 a       499     0    21     1    19
  1.4133419236294140E+00 a       500     0    21     1    20
  4.6563806347397128E+00 a       501     0    21     1    21
  1.5174451386005361E+00 a       502     0    21     1    22
 -4.7734888932747239E+00 a       503     0    21     1    23
 -2.6030514420465622E+00 a       504     0    21     1    24
  3.8754160040253325E+00 a       505     0    22     1     1
  8.1944169010039025E-01 a       506     0    22     1     2
 -1.0757624700825492E+01 a       507     0    22     1     3
 -6.3183077043986353E+00 a       508     0    22     1     4
 -1.3199896137460296E+01 a       509     0    22     1     5
  1.1492918295540145E+01 a       510     0    22     1     6
 -1.6312495476726548E-03 a       511     0    22     1     7
